location_name,baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
Nanji_Hangang,20260403,1700,VVV,20260404,2300,1.7,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,2300,214,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,2300,2.1,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,2300,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,2300,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,2300,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,2300,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,2300,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,2300,85,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,2300,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260405,0000,10,59,126
Nanji_Hangang,20260403,1700,UUU,20260405,0000,0.9,59,126
Nanji_Hangang,20260403,1700,VVV,20260405,0000,1.8,59,126
Nanji_Hangang,20260403,1700,VEC,20260405,0000,208,59,126
Nanji_Hangang,20260403,1700,WSD,20260405,0000,2.1,59,126
Nanji_Hangang,20260403,1700,SKY,20260405,0000,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260405,0000,0,59,126
Nanji_Hangang,20260403,1700,POP,20260405,0000,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260405,0000,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260405,0000,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260405,0000,85,59,126
Nanji_Hangang,20260403,1700,SNO,20260405,0000,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260405,0100,9,59,126
Nanji_Hangang,20260403,1700,UUU,20260405,0100,0.6,59,126
Nanji_Hangang,20260403,1700,VVV,20260405,0100,1.4,59,126
Nanji_Hangang,20260403,1700,VEC,20260405,0100,205,59,126
Nanji_Hangang,20260403,1700,WSD,20260405,0100,1.6,59,126
Nanji_Hangang,20260403,1700,SKY,20260405,0100,1,59,126
Nanji_Hangang,20260403,1700,PTY,20260405,0100,0,59,126
Nanji_Hangang,20260403,1700,POP,20260405,0100,0,59,126
Nanji_Hangang,20260403,1700,WAV,20260405,0100,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260405,0100,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260405,0100,85,59,126
Nanji_Hangang,20260403,1700,SNO,20260405,0100,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260405,0200,9,59,126
Nanji_Hangang,20260403,1700,UUU,20260405,0200,0.5,59,126
Nanji_Hangang,20260403,1700,VVV,20260405,0200,1.4,59,126
Nanji_Hangang,20260403,1700,VEC,20260405,0200,202,59,126
Nanji_Hangang,20260403,1700,WSD,20260405,0200,1.6,59,126
Nanji_Hangang,20260403,1700,SKY,20260405,0200,1,59,126
Nanji_Hangang,20260403,1700,PTY,20260405,0200,0,59,126
Nanji_Hangang,20260403,1700,POP,20260405,0200,0,59,126
Nanji_Hangang,20260403,1700,WAV,20260405,0200,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260405,0200,강수없음,59,126
