date,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,daily_parking_count,daily_usage_minutes,avg_stay_minutes
2023-03-28,2023,3,28,Tuesday,False,False,,False,False,False,1920,114975,59.88
2023-03-29,2023,3,29,Wednesday,False,False,,False,False,False,1712,98054,57.27
2023-03-30,2023,3,30,Thursday,False,False,,False,False,False,1790,97759,54.61
2023-03-31,2023,3,31,Friday,False,False,,False,False,False,2140,110784,51.77
2023-04-01,2023,4,1,Saturday,True,False,,False,True,False,3008,225215,74.87
2023-04-02,2023,4,2,Sunday,True,False,,False,True,False,3509,344368,98.14
2023-04-03,2023,4,3,Monday,False,False,,False,False,False,2181,121207,55.57
2023-04-04,2023,4,4,Tuesday,False,False,,False,False,False,1636,100546,61.46
2023-04-05,2023,4,5,Wednesday,False,False,,False,False,False,1254,53755,42.87
2023-04-06,2023,4,6,Thursday,False,False,,False,False,False,1587,70879,44.66
2023-04-07,2023,4,7,Friday,False,False,,False,False,False,2017,99217,49.19
2023-04-08,2023,4,8,Saturday,True,False,,False,True,False,2775,194960,70.26
2023-04-09,2023,4,9,Sunday,True,False,,False,True,False,2855,227135,79.56
2023-04-10,2023,4,10,Monday,False,False,,False,False,False,2109,119587,56.7
2023-04-11,2023,4,11,Tuesday,False,False,,False,False,False,1304,59424,45.57
2023-04-12,2023,4,12,Wednesday,False,False,,False,False,False,1699,101757,59.89
2023-04-13,2023,4,13,Thursday,False,False,,False,False,False,1744,102499,58.77
2023-04-14,2023,4,14,Friday,False,False,,False,False,False,2102,123887,58.94
2023-04-15,2023,4,15,Saturday,True,False,,False,True,False,3015,214841,71.26
2023-04-16,2023,4,16,Sunday,True,False,,False,True,False,3321,320677,96.56
2023-04-17,2023,4,17,Monday,False,False,,False,False,False,1973,133199,67.51
2023-04-18,2023,4,18,Tuesday,False,False,,False,False,False,1770,85395,48.25
2023-04-19,2023,4,19,Wednesday,False,False,,False,False,False,2182,135821,62.25
2023-04-20,2023,4,20,Thursday,False,False,,False,False,False,1806,97185,53.81
2023-04-21,2023,4,21,Friday,False,False,,False,False,False,2056,122022,59.35
2023-04-22,2023,4,22,Saturday,True,False,,False,True,False,2993,291040,97.24
2023-04-23,2023,4,23,Sunday,True,False,,False,True,False,3301,347232,105.19
2023-04-24,2023,4,24,Monday,False,False,,False,False,False,1852,115986,62.63
2023-04-25,2023,4,25,Tuesday,False,False,,False,False,False,1525,97430,63.89
2023-04-26,2023,4,26,Wednesday,False,False,,False,False,False,1748,122518,70.09
2023-04-27,2023,4,27,Thursday,False,False,,False,False,False,1892,136967,72.39
2023-04-28,2023,4,28,Friday,False,False,,False,False,False,2193,137245,62.58
2023-04-29,2023,4,29,Saturday,True,False,,False,True,False,4145,313019,75.52
2023-04-30,2023,4,30,Sunday,True,False,,False,True,False,4249,308886,72.7
2023-05-01,2023,5,1,Monday,False,False,,False,False,False,2500,223690,89.48
2023-05-02,2023,5,2,Tuesday,False,False,,False,False,False,1913,121145,63.33
2023-05-03,2023,5,3,Wednesday,False,False,,False,False,False,1958,121950,62.28
2023-05-04,2023,5,4,Thursday,False,False,,False,False,False,1928,118670,61.55
2023-05-05,2023,5,5,Friday,False,True,어린이날,False,True,True,1143,59967,52.46
2023-05-06,2023,5,6,Saturday,True,False,,False,True,True,3386,364001,107.5
2023-05-07,2023,5,7,Sunday,True,False,,False,True,True,3406,382650,112.35
2023-05-08,2023,5,8,Monday,False,False,,False,False,False,1902,124724,65.58
2023-05-09,2023,5,9,Tuesday,False,False,,False,False,False,1534,75269,49.07
2023-05-10,2023,5,10,Wednesday,False,False,,False,False,False,1834,109989,59.97
2023-05-11,2023,5,11,Thursday,False,False,,False,False,False,1766,109796,62.17
2023-05-12,2023,5,12,Friday,False,False,,False,False,False,2054,135659,66.05
2023-05-13,2023,5,13,Saturday,True,False,,False,True,False,2846,254340,89.37
2023-05-14,2023,5,14,Sunday,True,False,,False,True,False,3229,331034,102.52
2023-05-15,2023,5,15,Monday,False,False,,False,False,False,1889,131250,69.48
2023-05-16,2023,5,16,Tuesday,False,False,,False,False,False,1815,122004,67.22
2023-05-17,2023,5,17,Wednesday,False,False,,False,False,False,1919,122322,63.74
2023-05-18,2023,5,18,Thursday,False,False,,False,False,False,1719,114517,66.62
2023-05-19,2023,5,19,Friday,False,False,,False,False,False,2069,122986,59.44
2023-05-20,2023,5,20,Saturday,True,False,,False,True,False,2871,258545,90.05
2023-05-21,2023,5,21,Sunday,True,False,,False,True,False,2560,258878,101.12
2023-05-22,2023,5,22,Monday,False,False,,False,False,False,1802,110725,61.45
2023-05-23,2023,5,23,Tuesday,False,False,,False,False,False,1930,117505,60.88
2023-05-24,2023,5,24,Wednesday,False,False,,False,False,False,1825,125881,68.98
2023-05-25,2023,5,25,Thursday,False,False,,False,False,False,1956,132403,67.69
2023-05-26,2023,5,26,Friday,False,False,,False,False,False,2178,134717,61.85
2023-05-27,2023,5,27,Saturday,True,True,대선,False,True,True,3432,329453,95.99
2023-05-28,2023,5,28,Sunday,True,False,,False,True,True,3385,288986,85.37
2023-05-29,2023,5,29,Monday,False,True,대체공휴일,True,True,True,2377,199768,84.04
2023-05-30,2023,5,30,Tuesday,False,False,,False,False,False,1941,116584,60.06
2023-05-31,2023,5,31,Wednesday,False,False,,False,False,False,1831,117746,64.31
2023-06-01,2023,6,1,Thursday,False,False,,False,False,False,1896,140549,74.13
2023-06-02,2023,6,2,Friday,False,False,,False,False,False,1973,121194,61.43
2023-06-03,2023,6,3,Saturday,True,False,,False,True,False,49,76,1.55
2023-06-05,2023,6,5,Monday,False,False,,False,False,False,1323,76061,57.49
2023-06-06,2023,6,6,Tuesday,False,True,현충일,False,True,False,3191,334549,104.84
2023-06-07,2023,6,7,Wednesday,False,False,,False,False,False,1760,89624,50.92
2023-06-08,2023,6,8,Thursday,False,False,,False,False,False,1602,91534,57.14
2023-06-09,2023,6,9,Friday,False,False,,False,False,False,1845,108164,58.63
2023-06-10,2023,6,10,Saturday,True,False,,False,True,False,2041,180640,88.51
2023-06-11,2023,6,11,Sunday,True,False,,False,True,False,2376,212929,89.62
2023-06-12,2023,6,12,Monday,False,False,,False,False,False,1775,122800,69.18
